"docid","paragraphid","sentenceid","tokenid","token","pos"
"2010.01.01.iran.moussavi","0","0","0","Mir","NNP"
"2010.01.01.iran.moussavi","0","0","1","Hossein","NNP"
"2010.01.01.iran.moussavi","0","0","2","Moussavi","NNP"
"2010.01.01.iran.moussavi","0","0","3",",",","
"2010.01.01.iran.moussavi","0","0","4","the","DT"
"2010.01.01.iran.moussavi","0","0","5","reformist","JJ"
"2010.01.01.iran.moussavi","0","0","6","Iranian","JJ"
"2010.01.01.iran.moussavi","0","0","7","politician","NN"
"2010.01.01.iran.moussavi","0","0","8","who","WP"
"2010.01.01.iran.moussavi","0","0","9","failed","VBD"
"2010.01.01.iran.moussavi","0","0","10","to","TO"
"2010.01.01.iran.moussavi","0","0","11","unseat","VB"
"2010.01.01.iran.moussavi","0","0","12","President","NNP"
"2010.01.01.iran.moussavi","0","0","13","Mahmoud","NNP"
"2010.01.01.iran.moussavi","0","0","14","Ahmadinejad","NNP"
"2010.01.01.iran.moussavi","0","0","15","in","IN"
"2010.01.01.iran.moussavi","0","0","16","the","DT"
"2010.01.01.iran.moussavi","0","0","17","June","NNP"
"2010.01.01.iran.moussavi","0","0","18","election","NN"
"2010.01.01.iran.moussavi","0","0","19",",",","
"2010.01.01.iran.moussavi","0","0","20","raged","VBD"
"2010.01.01.iran.moussavi","0","0","21","Friday","NNP"
"2010.01.01.iran.moussavi","0","0","22","against","IN"
"2010.01.01.iran.moussavi","0","0","23","government","NN"
"2010.01.01.iran.moussavi","0","0","24","efforts","NNS"
"2010.01.01.iran.moussavi","0","0","25","to","TO"
"2010.01.01.iran.moussavi","0","0","26","stifle","VB"
"2010.01.01.iran.moussavi","0","0","27","protesters","NNS"
"2010.01.01.iran.moussavi","0","0","28",".","."
"2010.01.01.iran.moussavi","0","1","0","Moussavi","NNP"
"2010.01.01.iran.moussavi","0","1","1","had","VBD"
"2010.01.01.iran.moussavi","0","1","2","addressed","VBN"
"2010.01.01.iran.moussavi","0","1","3","anti-government","JJ"
"2010.01.01.iran.moussavi","0","1","4","demonstrations","NNS"
"2010.01.01.iran.moussavi","0","1","5","Sunday","NNP"
"2010.01.01.iran.moussavi","0","1","6","in","IN"
"2010.01.01.iran.moussavi","0","1","7","which","WDT"
"2010.01.01.iran.moussavi","0","1","8","at","IN"
"2010.01.01.iran.moussavi","0","1","9","least","JJS"
"2010.01.01.iran.moussavi","0","1","10","seven","CD"
"2010.01.01.iran.moussavi","0","1","11","protesters","NNS"
"2010.01.01.iran.moussavi","0","1","12","were","VBD"
"2010.01.01.iran.moussavi","0","1","13","killed","VBN"
"2010.01.01.iran.moussavi","0","1","14",",",","
"2010.01.01.iran.moussavi","0","1","15","and","CC"
"2010.01.01.iran.moussavi","0","1","16","warned","VBD"
"2010.01.01.iran.moussavi","0","1","17","that","IN"
"2010.01.01.iran.moussavi","0","1","18","reformist","JJ"
"2010.01.01.iran.moussavi","0","1","19","sentiments","NNS"
"2010.01.01.iran.moussavi","0","1","20","wo","MD"
"2010.01.01.iran.moussavi","0","1","21","n't","RB"
"2010.01.01.iran.moussavi","0","1","22","disappear","VB"
"2010.01.01.iran.moussavi","0","1","23","despite","IN"
"2010.01.01.iran.moussavi","0","1","24","government","NN"
"2010.01.01.iran.moussavi","0","1","25","attempts","NNS"
"2010.01.01.iran.moussavi","0","1","26","to","TO"
"2010.01.01.iran.moussavi","0","1","27","silence","NN"
"2010.01.01.iran.moussavi","0","1","28","them","PRP"
"2010.01.01.iran.moussavi","0","1","29",".","."
"2010.01.01.iran.moussavi","0","2","0","The","DT"
"2010.01.01.iran.moussavi","0","2","1","Iranian","JJ"
"2010.01.01.iran.moussavi","0","2","2","government","NN"
"2010.01.01.iran.moussavi","0","2","3","denies","VBZ"
"2010.01.01.iran.moussavi","0","2","4","that","IN"
"2010.01.01.iran.moussavi","0","2","5","any","DT"
"2010.01.01.iran.moussavi","0","2","6","of","IN"
"2010.01.01.iran.moussavi","0","2","7","the","DT"
"2010.01.01.iran.moussavi","0","2","8","deaths","NNS"
"2010.01.01.iran.moussavi","0","2","9","were","VBD"
"2010.01.01.iran.moussavi","0","2","10","caused","VBN"
"2010.01.01.iran.moussavi","0","2","11","by","IN"
"2010.01.01.iran.moussavi","0","2","12","official","JJ"
"2010.01.01.iran.moussavi","0","2","13","security","NN"
"2010.01.01.iran.moussavi","0","2","14","forces","NNS"
"2010.01.01.iran.moussavi","0","2","15",",",","
"2010.01.01.iran.moussavi","0","2","16","but","CC"
"2010.01.01.iran.moussavi","0","2","17","the","DT"
"2010.01.01.iran.moussavi","0","2","18","clashes","NNS"
"2010.01.01.iran.moussavi","0","2","19","--",":"
"2010.01.01.iran.moussavi","0","2","20","depicted","VBN"
"2010.01.01.iran.moussavi","0","2","21","in","IN"
"2010.01.01.iran.moussavi","0","2","22","sometimes","RB"
"2010.01.01.iran.moussavi","0","2","23","grainy","JJ"
"2010.01.01.iran.moussavi","0","2","24","and","CC"
"2010.01.01.iran.moussavi","0","2","25","shaky","JJ"
"2010.01.01.iran.moussavi","0","2","26","amateur","JJ"
"2010.01.01.iran.moussavi","0","2","27","videos","NNS"
"2010.01.01.iran.moussavi","0","2","28","that","IN"
"2010.01.01.iran.moussavi","0","2","29","show","VB"
"2010.01.01.iran.moussavi","0","2","30","a","DT"
"2010.01.01.iran.moussavi","0","2","31","number","NN"
"2010.01.01.iran.moussavi","0","2","32","of","IN"
"2010.01.01.iran.moussavi","0","2","33","protesters","NNS"
"2010.01.01.iran.moussavi","0","2","34","with","IN"
"2010.01.01.iran.moussavi","0","2","35","serious","JJ"
"2010.01.01.iran.moussavi","0","2","36","and","CC"
"2010.01.01.iran.moussavi","0","2","37","possibly","RB"
"2010.01.01.iran.moussavi","0","2","38","fatal","JJ"
"2010.01.01.iran.moussavi","0","2","39","injuries","NNS"
"2010.01.01.iran.moussavi","0","2","40",",",","
"2010.01.01.iran.moussavi","0","2","41","including","VBG"
"2010.01.01.iran.moussavi","0","2","42","some","DT"
"2010.01.01.iran.moussavi","0","2","43","with","IN"
"2010.01.01.iran.moussavi","0","2","44","apparent","JJ"
"2010.01.01.iran.moussavi","0","2","45","gunshot","NN"
"2010.01.01.iran.moussavi","0","2","46","wounds","NNS"
"2010.01.01.iran.moussavi","0","2","47","--",":"
"2010.01.01.iran.moussavi","0","2","48","appear","VBP"
"2010.01.01.iran.moussavi","0","2","49","to","TO"
"2010.01.01.iran.moussavi","0","2","50","tell","VB"
"2010.01.01.iran.moussavi","0","2","51","a","DT"
"2010.01.01.iran.moussavi","0","2","52","different","JJ"
"2010.01.01.iran.moussavi","0","2","53","story","NN"
"2010.01.01.iran.moussavi","0","2","54",".","."
"2010.01.01.iran.moussavi","0","3","0","In","IN"
"2010.01.01.iran.moussavi","0","3","1","one","CD"
"2010.01.01.iran.moussavi","0","3","2","video","NN"
"2010.01.01.iran.moussavi","0","3","3","--",":"
"2010.01.01.iran.moussavi","0","3","4","shot","NN"
