docid,text_quang,text_us,QuangAnnotation,ProposedEvent1,ProposedEvent2,ProposedTlink
2010.01.01.iran.moussavi,"Resaei , former commander of the elite Revolutionary Guards , <accused> Moussavi and reformist politicians Mohammad Khatami and Mehdi Karrubi of doing the bidding of enemies of Iran , and are therefore "" domestic pawns "" of foreigners .  He <named> no nations . ","Resaei , former commander of the elite Revolutionary Guards , <e72:accused> Moussavi and reformist politicians Mohammad Khatami and Mehdi Karrubi of doing the bidding of enemies of Iran , and are therefore "" domestic pawns "" of foreigners .  He named no nations .",accused causes named,,,
2010.01.01.iran.moussavi,"Mir Hossein Moussavi , the reformist Iranian politician who <failed> to unseat President Mahmoud Ahmadinejad in the June <election> , raged Friday against government efforts to stifle protesters . ","Mir Hossein Moussavi , the reformist Iranian politician who <e1:failed> to unseat President Mahmoud Ahmadinejad in the June election , <e3:raged> Friday against government efforts to stifle protesters . ",election causes failed,,,
2010.01.01.iran.moussavi,"Moussavi had addressed anti-government <demonstrations> Sunday in which at least seven protesters were <killed> , and warned that reformist sentiments wo n't disappear despite government attempts to silence them . ","Moussavi had <e5:addressed> anti-government demonstrations Sunday in which at least seven protesters were <e6:killed> , and <e7:warned> that reformist sentiments wo n't disappear despite government attempts to silence them . ",demonstrations causes killed,,,
2010.01.01.iran.moussavi,"In one video -- shot Sunday , according to the posting on the Web site YouTube -- green-and-white police trucks <speed> into crowds of demonstrators in Tehran .  Most of the protesters <attempt> to scatter , but one truck drives into a group trapped in a narrow street . ","In one video -- shot Sunday , according to the posting on the Web site YouTube -- green-and-white police trucks speed into crowds of demonstrators in Tehran . Most of the protesters <e18:attempt> to scatter , but one truck drives into a group <e21:trapped> in a narrow street . ",speed causes attempt,,,
2010.01.01.iran.moussavi,"Moussavi <seeks> changes in election laws to make the voting process more transparent , the <release> of all political prisoners , freedom of the press and for the government to recognize "" the legitimate right of the people to congregate legally . "" ",""" Moussavi <e52:seeks> changes in election laws to make the voting process more transparent , the release of all political prisoners , freedom of the press and for the government to recognize "" the legitimate right of the people to congregate legally . ",seeks causes release,,,
2010.01.01.iran.moussavi,"Moussavi <seeks> changes in election laws to make the voting process more transparent , the release of all political prisoners , freedom of the press and for the government to <recognize> "" the legitimate right of the people to congregate legally . "" ",""" Moussavi <e52:seeks> changes in election laws to make the voting process more transparent , the release of all political prisoners , freedom of the press and for the government to recognize "" the legitimate right of the people to congregate legally . ",seeks causes recognize,,,
2010.01.01.iran.moussavi,""" When he maintains that 'even if I do n't issue a statement , the people will take to the streets regardless , ' this shows that even before Ashura , those people took to the streets based on his <statements> .  "" Moussavi has thereby accepted that he has <issued> statements even before this , based on which people took to the streets . ",""" When he <e59:maintains> that'even if I do n't <e60:issue> a statement , the people will take to the streets regardless , ' this shows that even before Ashura , those people <e62:took> to the streets <e63:based> on his statements .  "" Moussavi has thereby <e64:accepted> that he has <e65:issued> statements even before this , <e66:based> on which people <e67:took> to the streets . ",issued causes statements,,,
2010.01.01.iran.moussavi,"Moussavi had <addressed> anti-government <demonstrations> Sunday in which at least seven protesters were killed , and warned that reformist sentiments wo n't disappear despite government attempts to silence them . ","Moussavi had <e5:addressed> anti-government demonstrations Sunday in which at least seven protesters were <e6:killed> , and <e7:warned> that reformist sentiments wo n't disappear despite government attempts to silence them . ",demonstrations causes addressed,,,
2010.01.01.iran.moussavi,At least eight people were <killed> during those <protests> . ,At least eight people were <e31:killed> during those protests . ,protests causes killed,,,
2010.01.01.iran.moussavi,"Mir Hossein Moussavi , the reformist Iranian politician who failed to unseat President Mahmoud Ahmadinejad in the June election , <raged> Friday against government efforts to <stifle> protesters . ","Mir Hossein Moussavi , the reformist Iranian politician who <e1:failed> to unseat President Mahmoud Ahmadinejad in the June election , <e3:raged> Friday against government efforts to stifle protesters . ",stifle causes raged,,,
