docid	eid	eiid	id
ABC19980108.1830.0711	1	375	0
ABC19980108.1830.0711	3	377	1
ABC19980108.1830.0711	4	378	2
ABC19980108.1830.0711	7	379	3
ABC19980108.1830.0711	9	380	4
ABC19980108.1830.0711	10	381	5
ABC19980108.1830.0711	147	382	6
ABC19980108.1830.0711	11	384	7
ABC19980108.1830.0711	376	438	8
ABC19980108.1830.0711	12	386	9
ABC19980108.1830.0711	16	388	10
ABC19980108.1830.0711	17	389	11
ABC19980108.1830.0711	18	390	12
ABC19980108.1830.0711	19	391	13
ABC19980108.1830.0711	20	392	14
ABC19980108.1830.0711	21	393	15
ABC19980108.1830.0711	26	395	16
ABC19980108.1830.0711	28	397	17
ABC19980108.1830.0711	30	398	18
ABC19980108.1830.0711	32	399	19
ABC19980108.1830.0711	33	400	20
ABC19980108.1830.0711	34	401	21
ABC19980108.1830.0711	37	402	22
ABC19980108.1830.0711	88	403	23
ABC19980108.1830.0711	91	404	24
ABC19980108.1830.0711	39	405	25
ABC19980108.1830.0711	40	406	26
ABC19980108.1830.0711	41	407	27
ABC19980108.1830.0711	42	408	28
ABC19980108.1830.0711	43	409	29
ABC19980108.1830.0711	44	410	30
ABC19980108.1830.0711	46	412	31
ABC19980108.1830.0711	48	414	32
ABC19980108.1830.0711	50	415	33
ABC19980108.1830.0711	52	417	34
ABC19980108.1830.0711	53	418	35
ABC19980108.1830.0711	54	419	36
ABC19980108.1830.0711	55	420	37
ABC19980108.1830.0711	374	436	38
ABC19980108.1830.0711	56	422	39
ABC19980108.1830.0711	59	424	40
ABC19980108.1830.0711	64	426	41
ABC19980108.1830.0711	65	427	42
ABC19980108.1830.0711	66	428	43
ABC19980108.1830.0711	67	429	44
ABC19980108.1830.0711	368	430	45
ABC19980114.1830.0611	1	252	0
ABC19980114.1830.0611	2	253	1
ABC19980114.1830.0611	3	254	2
ABC19980114.1830.0611	10	256	3
ABC19980114.1830.0611	13	257	4
ABC19980114.1830.0611	15	258	5
ABC19980114.1830.0611	18	259	6
ABC19980114.1830.0611	19	260	7
ABC19980114.1830.0611	20	261	8
ABC19980114.1830.0611	21	262	9
ABC19980114.1830.0611	22	263	10
ABC19980114.1830.0611	24	264	11
ABC19980114.1830.0611	26	265	12
ABC19980114.1830.0611	60	266	13
ABC19980114.1830.0611	61	267	14
ABC19980114.1830.0611	28	268	15
ABC19980114.1830.0611	30	269	16
ABC19980114.1830.0611	33	270	17
ABC19980114.1830.0611	34	271	18
ABC19980114.1830.0611	36	272	19
ABC19980114.1830.0611	38	273	20
ABC19980114.1830.0611	235	275	21
ABC19980114.1830.0611	43	276	22
ABC19980120.1830.0957	1	415	0
ABC19980120.1830.0957	86	416	1
ABC19980120.1830.0957	2	417	2
ABC19980120.1830.0957	4	418	3
ABC19980120.1830.0957	87	419	4
ABC19980120.1830.0957	7	420	5
ABC19980120.1830.0957	8	421	6
ABC19980120.1830.0957	9	422	7
ABC19980120.1830.0957	11	423	8
ABC19980120.1830.0957	15	424	9
ABC19980120.1830.0957	16	425	10
ABC19980120.1830.0957	18	426	11
ABC19980120.1830.0957	22	429	12
ABC19980120.1830.0957	24	430	13
ABC19980120.1830.0957	26	431	14
ABC19980120.1830.0957	99	432	15
ABC19980120.1830.0957	240	434	16
ABC19980120.1830.0957	30	435	17
ABC19980120.1830.0957	32	437	18
ABC19980120.1830.0957	100	438	19
ABC19980120.1830.0957	35	439	20
ABC19980120.1830.0957	38	441	21
ABC19980120.1830.0957	103	442	22
ABC19980120.1830.0957	42	443	23
ABC19980120.1830.0957	44	444	24
ABC19980120.1830.0957	45	445	25
ABC19980120.1830.0957	48	447	26
ABC19980120.1830.0957	50	448	27
ABC19980120.1830.0957	51	449	28
ABC19980120.1830.0957	52	450	29
ABC19980120.1830.0957	53	451	30
ABC19980120.1830.0957	56	452	31
ABC19980120.1830.0957	57	453	32
ABC19980120.1830.0957	59	454	33
ABC19980120.1830.0957	60	455	34
ABC19980120.1830.0957	378	456	35
ABC19980120.1830.0957	63	458	36
ABC19980120.1830.0957	64	459	37
ABC19980120.1830.0957	66	460	38
ABC19980120.1830.0957	67	461	39
ABC19980120.1830.0957	112	462	40
ABC19980304.1830.1636	1	258	0
ABC19980304.1830.1636	2	259	1
ABC19980304.1830.1636	3	260	2
ABC19980304.1830.1636	37	261	3
ABC19980304.1830.1636	38	262	4
ABC19980304.1830.1636	40	263	5
ABC19980304.1830.1636	41	264	6
ABC19980304.1830.1636	6	265	7
ABC19980304.1830.1636	7	266	8
ABC19980304.1830.1636	254	289	9
ABC19980304.1830.1636	68	268	10
ABC19980304.1830.1636	44	269	11
ABC19980304.1830.1636	10	272	12
ABC19980304.1830.1636	20	274	13
ABC19980304.1830.1636	51	275	14
ABC19980304.1830.1636	22	276	15
ABC19980304.1830.1636	52	277	16
ABC19980304.1830.1636	23	278	17
ABC19980304.1830.1636	24	280	18
ABC19980304.1830.1636	25	281	19
ABC19980304.1830.1636	26	282	20
ABC19980304.1830.1636	27	283	21
ABC19980304.1830.1636	28	285	22
ABC19980304.1830.1636	30	288	23
AP900815-0044	5	1519	0
AP900815-0044	6	1520	1
AP900815-0044	8	1522	2
AP900815-0044	9	1523	3
AP900815-0044	10	1524	4
AP900815-0044	11	1525	5
AP900815-0044	13	1526	6
AP900815-0044	15	1527	7
AP900815-0044	16	1528	8
AP900815-0044	17	1529	9
AP900815-0044	18	1530	10
AP900815-0044	19	1531	11
AP900815-0044	23	1532	12
AP900815-0044	27	1534	13
AP900815-0044	28	1535	14
AP900815-0044	29	1536	15
AP900815-0044	387	1537	16
AP900815-0044	30	1538	17
AP900815-0044	33	1539	18
AP900815-0044	34	1540	19
AP900815-0044	35	1541	20
AP900815-0044	38	1542	21
AP900815-0044	39	1543	22
AP900815-0044	40	1544	23
AP900815-0044	41	1545	24
AP900815-0044	42	1546	25
AP900815-0044	43	1547	26
AP900815-0044	50	1549	27
AP900815-0044	52	1551	28
AP900815-0044	53	1552	29
AP900815-0044	54	1553	30
AP900815-0044	58	1555	31
AP900815-0044	59	1556	32
AP900815-0044	60	1557	33
AP900815-0044	61	1558	34
AP900815-0044	62	1559	35
AP900815-0044	63	1560	36
AP900815-0044	64	1561	37
AP900815-0044	66	1562	38
AP900815-0044	67	1563	39
AP900815-0044	69	1565	40
AP900815-0044	70	1566	41
AP900815-0044	73	1567	42
AP900815-0044	74	1568	43
AP900815-0044	75	1569	44
AP900815-0044	77	1571	45
AP900815-0044	78	1572	46
AP900815-0044	80	1574	47
AP900815-0044	81	1575	48
AP900815-0044	83	1576	49
AP900815-0044	84	1577	50
AP900815-0044	85	1578	51
AP900815-0044	87	1580	52
AP900815-0044	88	1581	53
AP900815-0044	90	1582	54
AP900815-0044	91	1583	55
AP900815-0044	92	1584	56
AP900815-0044	93	1585	57
AP900815-0044	94	1586	58
AP900815-0044	97	1589	59
AP900815-0044	98	1590	60
AP900815-0044	99	1591	61
AP900815-0044	100	1592	62
AP900815-0044	101	1593	63
AP900815-0044	102	1594	64
AP900815-0044	104	1596	65
AP900815-0044	106	1597	66
AP900815-0044	107	1598	67
AP900815-0044	110	1599	68
AP900815-0044	112	1601	69
AP900815-0044	113	1602	70
AP900815-0044	116	1603	71
AP900815-0044	117	1604	72
AP900815-0044	767	1605	73
AP900815-0044	118	1606	74
AP900815-0044	119	1607	75
AP900815-0044	121	1608	76
AP900815-0044	122	1609	77
AP900815-0044	123	1610	78
AP900815-0044	124	1611	79
AP900815-0044	126	1613	80
AP900815-0044	128	1615	81
AP900815-0044	129	1616	82
AP900815-0044	130	1617	83
AP900815-0044	131	1618	84
AP900815-0044	132	1619	85
AP900815-0044	133	1620	86
AP900815-0044	134	1621	87
AP900815-0044	136	1622	88
AP900815-0044	137	1623	89
AP900815-0044	138	1624	90
AP900815-0044	139	1625	91
AP900815-0044	144	1628	92
AP900815-0044	146	1629	93
AP900815-0044	147	1630	94
AP900815-0044	148	1631	95
AP900815-0044	149	1632	96
AP900815-0044	150	1633	97
AP900815-0044	152	1634	98
AP900815-0044	153	1635	99
AP900815-0044	156	1638	100
AP900815-0044	158	1639	101
AP900815-0044	159	1640	102
AP900815-0044	941	1641	103
AP900815-0044	160	1642	104
AP900815-0044	165	1643	105
AP900815-0044	166	1644	106
AP900815-0044	167	1645	107
AP900815-0044	168	1646	108
AP900815-0044	171	1648	109
AP900815-0044	173	1650	110
AP900815-0044	175	1651	111
